Sr no,FILM NAME,Starcast,YOR,Language,LOT,GRADING,"FULL
MOVIE",SCENE,SONG,Ultra Bollywood,Ultra Movie Parlour,Bollywood Premium,Film City HD,Ultra Filmy,Bollywood 70s 80s,2000 Ki Filmein,Filmy Deewane,Ultra Classic,Indian cinema,Ultra Action Hits,Hindi Dubbed Movies,Ultra Movie Hub,90's Bollywood,Free TV ,South Ke Khiladi,South Hindi Dubbed,Movies with Subtitle,Hindi Thriller Movies,Playmovies,Hindi Movieplex,The Kapoors,Ladies Special,Filmy Duniya,Haste Raho,Bolly Shorts,Hansi Mazaak,Bollywood Dil se,Comedy Super Kings,Ultra Movie World,Ultra Cinema,Ajay Akshay Sunny,Dharam Paaji,Zabardast Action,Bollywood clips,Mahaguru Mithun,Sunny Deol Hits,Dumdaar Villains,Govinda No 1,90s Ke Hero,The Khans,Amitabh Special,Movie Climax,King Kader Khan,90s Ki Heroine,Bhakti Mein Shakti,Ultra Sports,Gaane Naye Purane,SuperHit Gaane,Dard Bhare Songs,Gaane Ke Jukebox,Romantic Gaane,90s Filmy Gaane,Gaane 70s 80s,Rafi Ke Gaane,Ultra Bollywood Songs,Kishore Kumar Songs,Lataji Ke Gaane,Old Hindi Songs,Facebook
885,DOOR KI AWAZ,"SAIRA BAUN, JOY MUKHARJEE, PRAN",1964,HINDI,GOEL17,B,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
886,PYAAR KA SAAGAR,"RAJENDRA KUMAR, MEENA KUMARI, MADAN PURI",1961,HINDI,GOEL17,B,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
887,CHIRAG KAHAN ROSHNI KAHAN,"RAJENDRA KUMAR, MEENA KUMARI",1959,HINDI,GOEL17,B,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
888,EK SAAL,"ASHOK KUMAR, MADHUBALA, JOHNNY WALKER",1957,HINDI,GOEL17,B,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
889,VACHAN,"RAJENDRA KUMAR, GEETA BALI",1955,HINDI,GOEL17,B,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
890,AAS,"KAMINI KAUSHAL, OM PRAKASH, S.K. PREM, RAMESH KAPOOR",1953,HINDI,GOEL17,C,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
891,16th December,"DANNY DENZONGPA, GULSHAN GROVER, MILIND SOMAN, DIPANNITA SHARMA, SUSHANT SINGH, ADITI GOVITRIKAR",2002,HINDI,IDREAMS,A,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
892,TAHAAN,"PURAV BHANDARE, ANUPAM KHER, SARIKA,
RAHUL BOSE, RAHUL KHANNA, VICTOR BANERJEE, FATIMA SANA SHAIKH",2008,HINDI,IDREAMS,A+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
893,AGNIVARSHA,"JACKIE SHROFF, RAVEENATANDON, NAGARJUNA, PRABHUDEVA, AMITABH BACHCHAN",2002,HINDI,IDREAMS,A,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,YES,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
894,FIRED,"RAHUL BOSE, MILITZA RADMILOVIC, DINESH LAMBA",2010,HINDI,IDREAMS,A,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
895,KING OF BOLLYWOOD,"OM PURI, SOPHIE DAHL, MURLI SHARMA",2004,HINDI,IDREAMS,B+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
896,NAINA,"URMILA MATONDKAR, ANUJ SAWHNEY, AMARDEEP SINHA, SHWETA KONNUR, KAMINI KHANNA",2005,HINDI,IDREAMS,A,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
897,CAPE KARMA,"RAHUL DEV, AUDRIE WOODHOUSE, TISCA CHOPRA, GULSHAN GROVER",2007,Hindi,IDREAMS,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
898,SAMAY,"SUSHMITA SEN, JACKIE SHROFF, DINESH LAMBA, SUSHANT SINGH",2003,HINDI,IDREAMS,A,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
899,JAJANTARAM MAMANTARAM,"JAVED JAFFREY, GULSHAN GROVER",2003,HINDI,IDREAMS,A,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
900,JALWA,"NASEERUDDIN SHAH, ARCHANA PURAN SINGH, AMITABH BACHCHAN (SPL), SAEED JAFFREY, SATISH KAUSHIK, PANKAJ KAPUR, DALIP TAHIL ETC",1987,HINDI,GUL ANAND - 4,A,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
901,CHUPKE SE,"ZULFI SAYED, MASUMEH MAKHIJA, RATI AGNIHOTRI, OM PURI, REEMA LAGOO, TINNU ANAND, DILIP PRABHAWALKAR",2003,Hindi,GUL ANAND - 4,B,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
902,HERO HIRALAL,"NASEERUDDING SHAH, SANJANA KAPOOR, DEEPA SAHI, KIRAN KUMAR, SATISH SHAH",1988,Hindi,GUL ANAND - 4,A,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
903,AAR PAAR,"GURU DUTT, SHAKILA, SHYAMA",1954,HINDI,GURUDUTT,A,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
904,BAAZ,"GURU DUTT, GEETA BALI, JOHNY WALKER, KULDEEP KAUR, K. N. SINGH",1953,HINDI,GURUDUTT,B,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
905,BAHAREN PHIR BHI AAYENGI,"DHARMENDRA, MALA SINHA, TANUJA, JOHNY WALKER, REHMAN, DEVEN VARMA",1966,HINDI,GURUDUTT,B+,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,YES,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
906,BINDIYA CHAMKEGI,"REKHA, VINOD MEHRA, JOHNNY WALKER, DINA PATHAK, MASTER BHAGWAN",1984,HINDI,GURUDUTT,B,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
907,CHAUDVI KA CHAND,"GURUDUTT , WAHEEDA REHMAN, REHMAN, JOHNY WALKER",1960,HINDI,GURUDUTT,A,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
908,C.I.D.,"DEV ANAND. WAHEEDA REHMAN, SHAKEELA, JOHNY WALKER, MEHMOOD K.N. SINGH",1956,HINDI,GURUDUTT,A,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
909,MR. & MRS. 55,GURU DUTT MADHUBALA JOHNY WALKER,1955,HINDI,GURUDUTT,A,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
910,SAHIB BIWI AUR GULAM,"GURU DUTT, MEENA KUMARI, WAHEEDA REHMAN, REHMAN, SAPRU, DHUMAL",1962,HINDI,GURUDUTT,A,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
911,PYAASA,"GURU DUTT, MALA SINHA, WAHEEDA REHMAN, JOHNY WALKER, SHYAMA",1957,HINDI,GURUDUTT,A+,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
912,KAGAZ KE PHOOL,"GURU DUTT, WAHEEDA REHMAN, JOHNY WALKER, MEHMOOD, TUN TUN",1959,HINDI,GURUDUTT,A+,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
913,KHULE AAM,"Dharmenda, Shammi Kapoor, Neelam, Chunky Pandey, Moushumi Chatterjee",1992,HINDI,GURUDUTT,B+,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,,,YES,,,,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,YES,,,,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
914,BORDER,"Sunny Deol, Suniel Shetty, Akshaye Khanna, Jackie Shroff, Tabu, Rakhee, Pooja Bhatt, Puneet Issar,",1997,Hindi,J P DUTTA,A+,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,,,YES,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,YES,,,,,YES,,,YES,,,,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
915,LOC KARGIL,"Sanjay Dutt, Ajay Devgn, Saif Ali Khan, Suniel Shetty, Kareena Kapoor, Manoj Bajpayee, Rani Mukherjee, Eesha Deolsanjay Dutt, Ajay Devgn, Nagarjuna, Sunil Shetty, Saif Ali Khan, Karan Nath, Abhishek Bachchan, Akshaye Khanna, Kareena Kapoor Khan, Rani Mukerji, Pooja Batra, Manoj Bajpayee, Ashutosh Rana, Esha Deol, Raveena Tandon, Preeti Jhangiani, Mahima Chaudhry,",2003,Hindi,J P DUTTA,A+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,,,,,,,,YES,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
916,UMRAO JAAN,"Aishwarya Rai, Abhishek Bachchan, Shabana Azmi, Sunil Shetty, Divya Dutta, Himani Shivpuri, Kulbhushan Kharbanda, Ayesha Jhulka, Parikshat Sahni, Puru Raaj Kumar.",2006,Hindi,J P DUTTA,A+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
917,REFUGEE,"Abhishek Bachchan, Kareena Kapoor, Suniel Shetty, Jackie Shroff, Sudesh Berry, Anupam Kher, Kulbhushan Kharbanda, Shadaab Khan, Reena Roy, Mukesh Tiwari, Ashish Vidyarthi, Avtar Gill , Puneet Issar, Ashish Vidyarthi.",2000,Hindi,J P DUTTA,A+,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,,YES,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
918,DIL EK MANDIR,"Rajendra Kumar, Meena Kumari,Raaj Kumar
Mehmood, Shubha Khote, Manmohan Krishna
Achala Sachdev, Nagesh",1963,Hindi,KAPOOR,A,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
919,NIGHT IN LONDON,"Biswajeet, Mala Sinha, Johnny Walker,
Helen, Anwar Hussain, M.B. Shetty",1968,Hindi,KAPOOR,A,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
920,DHARTI,"Rajendra Kumar, Waheeda Rehman, Sivaji Ganesan, Balraj Sahni, Ajit, Kamini Kaushal, Rajendra Nath, Kumkum",1970,Hindi,KAPOOR,A,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
921,INSPECTOR,"Joy Mukerjee, Alka, Helen, Jayant, M B Shetty",1970,Hindi,KAPOOR,B,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
922,SAZAA,"Ashok Kumar, Pran, Kabir Bedi, Yogita Bali, Madan Puri, Helen, Rajendra Nath, M B Shetty",1972,Hindi,KAPOOR,B,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
923,DHARMA,"Pran, Rekha, Navin Nischol, Ajit, Madan Puri, Ramesh Deo, Helen Bindu,",1973,Hindi,KAPOOR,A,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
924,PREMI GANGARAM,"Ashok Kumar, I. S. Johar, Yogita Bali, Anwar Hussain, 
Bindu, Tun Tun",1978,Hindi,KAPOOR,B,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
925,APNA KHOON,"Ashok Kumar, Shashi Kapoor, Hema Malini, Pran, Amjad Khan, Anwar Hussain,",1978,Hindi,KAPOOR,B,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
926,RAKHI KI SAUGANDH,"Vinod Mehra, Sarika, Amjad Khan, Ranjeet, Madan Puri, Ajit, Helen,",1979,Hindi,KAPOOR,B,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
927,FARISHTA,"Ashok Kumar, Kanwaljeet, Smita Patil (Sp), Master Raju, Ambika Shourie, Danny Denzongpa",1984,Hindi,KAPOOR,B,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
928,BAARISH,"DEV ANAND, NUTAN, JAGDISH SETHI, MEHMOOD, LALITA PAWAR.",1957,Hindi,KISHANDAS CHABRA & COMPANY,B+,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
929,BAHADUR BACHEY,"MASTER PRAKASH, MASTER SATISH, BABY INDIRA",1977,Hindi,KISHANDAS CHABRA & COMPANY,B,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
930,BHEEGI RAAT,"PRADEEP KUMAR, MEENA KUMARI, ASHOK KUMAR, KAMINI KAUSHAL",1965,Hindi,KISHANDAS CHABRA & COMPANY,A,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
931,ISHAARA,"JOY MUKHERJEE, VYJAYANTIMALA, PRAN, PRATIMA BEDI, AGHA",1964,Hindi,KISHANDAS CHABRA & COMPANY,B+,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
932,SARHAD,"DEV ANAND, SUCHITRA SEN, RAGINI, SAJJAN, LALITA PAWAR.",1960,Hindi,KISHANDAS CHABRA & COMPANY,B,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
933,AAG HI AAG (DHARMENDRA),"DHARMENDRA, CHUNKY PANDEY, NEELAM, SHATRUGHAN SINHA, MOUSHUMI CHATTERJEE,",1987,Hindi,PAHLAJ NIHALANI,A,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,YES,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
934,AAG KA GOLA,"SUNNY DEOL, DIMPLE KAPADIA, SHAKTI KAPOOR, PREM CHOPRA, RAZA MURAD,",1990,Hindi,PAHLAJ NIHALANI,A,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,,,YES,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,YES,,,,,YES,,,YES,,,,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
935,AANDHIYAA,"SHATRUGHAN SINHA, MUMTAZ, PRASANJEET, MADHUSHRI, VIKAS ANAND, SAYEN KAPPU.",1990,Hindi,PAHLAJ NIHALANI,B+,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,,,YES,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,YES,,,,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
936,AANKHEN,"GOVINDA, SHILPA SHIRODKAR, CHUNKEY PANDE, RAJESHWARI, KADER KHAN, SADASHIV AMRAPURKAR, RAJ BABBAR, SHAKTI KAPOOR.",1993,Hindi,PAHLAJ NIHALANI,A+,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,,,YES,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,YES,YES,,,,YES,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
937,ANDAAZ,"ANIL KAPOOR, JUHI CHAWLA, KARISHMA , RAJ BABBAR, KADER KHAN, SHAKTI KAPOOR, SATISH KAUSHIK",1994,Hindi,PAHLAJ NIHALANI,A,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,,,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,YES,,,,YES,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
938,"Aandhi Toofan
","SHATRUGHAN SINHA, HEMA MALINI, MITHUN CHAKRABORTY, MEENAKSHI SHESHADRI, SHASHI KAPOOR, KAAJAL KIRAN, DANNY DENZONGPA, GOGA KAPOOR, OM SHIVPURI 
",1985,Hindi,PAHLAJ NIHALANI,B+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
939,BHAI BHAI (SAMRAT MUKHERJEE),"SAMRAT MUKHERJEE, MANEK BEDI, RITU SHIVPURI, MEGHA, PREM CHOPRA, SHAKTI KAPOOR, GULSHAN GROVER",1997,Hindi,PAHLAJ NIHALANI,B,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,YES,,YES,YES,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,YES,,,YES,,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
940,DIL TERA DIWANA,"SAIF ALI KHAN, TWINKLE KHANNA, SHTRUGHAN SINHA, DALIP TAHIL, SHAKTI KAPOOR.",1996,Hindi,PAHLAJ NIHALANI,A,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,,,YES,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,YES,YES,,,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
941,FIRST LOVE LETTER,"VIVEK MUSHRAN, MANISHA KOIRALA, CHUNKEY PANDE, DANNY , GULSHAN GROVER, REEMA LAGOO",1991,Hindi,PAHLAJ NIHALANI,A,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,,,YES,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,YES,,,,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
